Identifier;Name;Cancer.Type
906794;A253;
753531;BB30-HNC;HNSC
753532;BB49-HNC;HNSC
753535;BHY;HNSC
1290724;BICR10;HNSC
1240121;BICR22;HNSC
1290725;BICR31;HNSC
1240122;BICR78;HNSC
753538;Ca9-22;HNSC
910916;CAL-27;HNSC
753541;CAL-33;HNSC
906837;Detroit562;HNSC
910936;DOK;HNSC
906863;FADU;HNSC
1240140;H3118;
907059;HN;HNSC
924111;HO-1-N-1;HNSC
753561;HO-1-u-1;HNSC
753562;HSC-2;HNSC
907061;HSC-3;HNSC
907062;HSC-4;HNSC
1240161;JHU-011;HNSC
1240162;JHU-022;HNSC
1298215;KON;HNSC
753570;KOSC-2;HNSC
753583;LB771-HNC;HNSC
1298362;OSC-19;HNSC
1240196;OSC-20;HNSC
1240204;PCI-15A;HNSC
1298529;PCI-30;HNSC
1240205;PCI-38;HNSC
1298531;PCI-4B;HNSC
1240206;PCI-6A;HNSC
1240207;PE/CA-PJ15;HNSC
909700;RPMI-2650;HNSC
909708;SAS;HNSC
1299050;SAT;HNSC
910911;SCC-15;HNSC
910701;SCC-25;HNSC
910904;SCC-4;HNSC
909709;SCC-9;HNSC
1299059;SKN-3;HNSC
906817;COLO-680N;ESCA
753555;EC-GI-10;ESCA
1503366;ESO26;ESCA
1503367;ESO51;ESCA
1503361;FLO-1;ESCA
753559;HCE-4;ESCA
1503368;KYAE-1;ESCA
753573;KYSE-140;ESCA
907317;KYSE-150;ESCA
907318;KYSE-180;ESCA
1240167;KYSE-220;ESCA
907319;KYSE-270;ESCA
753574;KYSE-410;ESCA
907320;KYSE-450;ESCA
1298222;KYSE-50;ESCA
907321;KYSE-510;ESCA
753575;KYSE-520;ESCA
753576;KYSE-70;ESCA
1503363;OACM5-1;ESCA
1503362;OACp4C;ESCA
910079;OE19;ESCA
1298359;OE21;ESCA
910549;OE33;ESCA
1503365;SK-GT-4;ESCA
753621;TE-1;ESCA
753622;TE-10;ESCA
946354;TE-11;ESCA
946356;TE-12;ESCA
753614;TE-15;ESCA
1503371;TE-4;ESCA
735784;TE-5;ESCA
946355;TE-6;ESCA
753623;TE-8;ESCA
946353;TE-9;ESCA
1299064;T-T;ESCA
910688;CESS;LAML
753548;CTV-1;LAML
906870;GDM-1;LAML
907053;HEL;LAML
905938;HL-60;LAML
907275;KASUMI-1;LAML
907278;KG-1;LAML
907280;KMOE-2;LAML
1330942;ME-1;LAML
908141;ML-2;LAML
1330947;MOLM-13;LAML
908148;MONO-MAC-6;LAML
908448;NKM-1;LAML
908451;NOMO-1;LAML
910947;OCI-AML2;LAML
1290455;OCI-AML3;LAML
1330983;OCI-AML5;LAML
1330985;OCI-M1;LAML
909253;P31-FUJ;LAML
1330991;PL-21;LAML
910545;QIMR-WIL;LAML
909715;SIG-M5;LAML
909771;THP-1;LAML
907273;KARPAS-299;
909742;SU-DHL-1;
1331040;SUP-M2;
910705;BALL-1;
1327774;KARPAS-231;
1330933;KOPN-8;
908132;MHH-CALL-2;
908136;MHH-PREB-1;
908143;MN-60;
908158;NALM-6;
1330994;RCH-ACV;
909696;REH;
1331025;ROS-50;
910209;SUP-B8;
909777;U-698-M;
910935;A3-KAW;DLBC
910934;A4-Fuk;DLBC
910919;BC-1;DLBC
906807;CRO-AP2;DLBC
949088;CTB-1;DLBC
906832;DB;DLBC
906842;DOHH-2;DLBC
1297449;Farage;DLBC
1303897;GRANTA-519;DLBC
1327765;JEKO-1;DLBC
1327769;JSC-1;DLBC
1327773;KARPAS-1106P;DLBC
907274;KARPAS-422;DLBC
907799;MC116;DLBC
1330982;NU-DUL-1;DLBC
1330984;OCI-LY-19;DLBC
1330995;RC-K8;DLBC
910861;RL;DLBC
910930;SCC-3;DLBC
1331032;SLVL;DLBC
1331033;SU-DHL-10;DLBC
1331034;SU-DHL-16;DLBC
1331035;SU-DHL-4;DLBC
1331036;SU-DHL-5;DLBC
1331037;SU-DHL-6;DLBC
1331038;SU-DHL-8;DLBC
1331045;TK;DLBC
909773;TUR;DLBC
